,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
40,Hassan Khan,2,2,6.4,0,69,0,-,-,10.35,-,0,0,0,0,2021/2022,Quetta Gladiators
40,Hasan Ali,10,10,39.5,0,269,13,14-Feb,20.69,6.75,18.3,0,0,3,0,2020/2021,Islamabad United
40,Imran Tahir,10,9,32,0,238,11,28-Mar,21.63,7.43,17.4,0,0,1,0,2019/2020,Multan Sultans
40,Hassan Khan,2,2,3,0,29,0,-,-,9.66,-,0,0,0,0,2018/2019,Lahore Qalandars
40,Khalid Usman,2,1,3,0,27,1,27-Jan,27,9,18,0,0,0,0,2017/2018,Peshawar Zalmi
40,DJ Malan,8,-,-,-,-,-,-,-,-,-,-,-,5,0,2016/2017,Peshawar Zalmi
40,DJ Malan,8,-,-,-,-,-,-,-,-,-,-,-,5,0,2015/2016,Peshawar Zalmi
41,Hazratullah Zazai,7,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Peshawar Zalmi
41,Hassan Khan,3,3,7,0,70,1,16-Jan,70,10,42,0,0,3,0,2020/2021,Quetta Gladiators
41,CA Ingram,9,-,-,-,-,-,-,-,-,-,-,-,2,0,2019/2020,Islamabad United
41,Hussain Talat,10,2,2,0,25,0,-,-,12.5,-,0,0,4,0,2018/2019,Islamabad United
41,Khurram Manzoor,7,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Karachi Kings
41,BAW Mendis,4,4,12,0,94,4,17-Mar,23.5,7.83,18,0,0,0,0,2016/2017,Lahore Qalandars
41,BAW Mendis,4,4,12,0,94,4,17-Mar,23.5,7.83,18,0,0,0,0,2015/2016,Lahore Qalandars
42,BAC Howell,1,1,3.3,0,34,1,Jan-34,34,9.71,21,0,0,0,0,2021/2022,Peshawar Zalmi
42,Hazratullah Zazai,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2020/2021,Peshawar Zalmi
42,CJ Jordan,9,9,33,0,273,9,Feb-29,30.33,8.27,22,0,0,6,0,2019/2020,Karachi Kings
42,Ibtisam Sheikh,4,4,10,0,71,4,14-Feb,17.75,7.1,15,0,0,2,0,2018/2019,Peshawar Zalmi
42,Khushdil Shah,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Peshawar Zalmi
42,Mir Hamza,4,3,4.5,0,51,0,-,-,10.55,-,0,0,2,0,2016/2017,Karachi Kings
42,Mir Hamza,4,3,4.5,0,51,0,-,-,10.55,-,0,0,2,0,2015/2016,Karachi Kings
43,Hussain Talat,9,6,17,0,134,4,8-Jan,33.5,7.88,25.5,0,0,1,0,2021/2022,Peshawar Zalmi
43,SO Hetmyer,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Multan Sultans
43,Junaid Khan,3,3,10,0,95,3,17-Feb,31.66,9.5,20,0,0,1,0,2019/2020,Multan Sultans
43,Iftikhar Ahmed,6,2,3,0,14,2,4-Feb,7,4.66,9,0,0,0,0,2018/2019,Karachi Kings
43,T Kohler-Cadmore,1,-,-,-,-,-,-,-,-,-,-,-,2,0,2017/2018,Quetta Gladiators
43,Misbah-ul-Haq,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Islamabad United
43,Misbah-ul-Haq,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Islamabad United
44,Iftikhar Ahmed,10,8,9.3,0,92,2,2-Jan,46,9.68,28.5,0,0,9,0,2021/2022,Quetta Gladiators
44,Hussain Talat,11,3,7,0,78,3,Feb-37,26,11.14,14,0,0,2,0,2020/2021,Islamabad United
44,Kamran Akmal,9,-,-,-,-,-,-,-,-,-,-,-,5,0,2019/2020,Peshawar Zalmi
44,Imad Wasim,11,11,43.2,0,289,5,27-Feb,57.8,6.66,52,0,0,1,0,2018/2019,Karachi Kings
44,B Laughlin,3,3,10,0,79,3,9-Jan,26.33,7.9,20,0,0,3,0,2017/2018,Quetta Gladiators
44,Mohammad Amir,7,7,26,1,164,7,27-Mar,23.42,6.3,22.2,0,0,0,0,2016/2017,Karachi Kings
44,Mohammad Amir,7,7,26,1,164,7,27-Mar,23.42,6.3,22.2,0,0,0,0,2015/2016,Karachi Kings
45,Ihsanullah,2,2,3.2,0,23,1,20-Jan,23,6.9,20,0,0,0,0,2021/2022,Multan Sultans
45,Iftikhar Ahmed,12,6,8.1,0,79,1,11-Jan,79,9.67,49,0,0,9,0,2020/2021,Islamabad United
45,Khurram Manzoor,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Quetta Gladiators
45,Imam-ul-Haq,12,-,-,-,-,-,-,-,-,-,-,-,2,0,2018/2019,Peshawar Zalmi
45,MJ McClenaghan,4,4,16,0,142,2,31-Jan,71,8.87,48,0,0,1,0,2017/2018,Lahore Qalandars
45,Mohammad Asghar,9,9,31,1,203,11,20-Mar,18.45,6.54,16.9,0,0,3,0,2016/2017,Peshawar Zalmi
45,Mohammad Asghar,9,9,31,1,203,11,20-Mar,18.45,6.54,16.9,0,0,3,0,2015/2016,Peshawar Zalmi
46,Imad Wasim,9,9,35,0,239,6,Feb-30,39.83,6.82,35,0,0,2,0,2021/2022,Karachi Kings
46,Imad Wasim,11,10,31,1,241,7,2-Feb,34.42,7.77,26.5,0,0,3,0,2020/2021,Karachi Kings
46,Khushdil Shah,11,3,5,0,25,1,1-Jan,25,5,30,0,0,5,0,2019/2020,Multan Sultans
46,CA Ingram,11,-,-,-,-,-,-,-,-,-,-,-,6,0,2018/2019,Karachi Kings
46,BB McCullum,10,-,-,-,-,-,-,-,-,-,-,-,3,0,2017/2018,Lahore Qalandars
46,Mohammad Hafeez,10,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Peshawar Zalmi
46,Mohammad Hafeez,10,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Peshawar Zalmi
47,Imran Khan,3,3,10.4,0,129,0,-,-,12.09,-,0,0,1,0,2021/2022,Multan Sultans
47,Imam-ul-Haq,6,-,-,-,-,-,-,-,-,-,-,-,3,0,2020/2021,Peshawar Zalmi
47,LS Livingstone,8,1,1,0,10,0,-,-,10,-,0,0,6,0,2019/2020,Peshawar Zalmi
47,CJ Jordan,2,2,7,0,64,3,26-Mar,21.33,9.14,14,0,0,1,0,2018/2019,Peshawar Zalmi
47,Mahmudullah,3,2,3,0,26,1,20-Jan,26,8.66,18,0,0,1,0,2017/2018,Quetta Gladiators
47,Mohammad Irfan,6,6,21,1,155,7,22-Mar,22.14,7.38,18,0,0,0,0,2016/2017,Islamabad United
47,Mohammad Irfan,6,6,21,1,155,7,22-Mar,22.14,7.38,18,0,0,0,0,2015/2016,Islamabad United
48,Imran Tahir,12,12,46,0,298,16,16-Mar,18.62,6.47,17.2,0,0,2,0,2021/2022,Multan Sultans
48,Imran Khan,7,7,25,1,179,12,24-Mar,14.91,7.16,12.5,0,0,0,0,2020/2021,Multan Sultans
48,CA Lynn,8,-,-,-,-,-,-,-,-,-,-,-,2,0,2019/2020,Lahore Qalandars
48,Junaid Khan,7,7,26.2,0,228,8,Mar-39,28.5,8.65,19.7,0,0,1,0,2018/2019,Multan Sultans
48,TS Mills,8,7,24.3,0,208,9,23-Feb,23.11,8.48,16.3,0,0,4,0,2017/2018,Karachi Kings
48,Mohammad Nabi,8,8,27,0,208,4,Feb-32,52,7.7,40.5,0,0,4,0,2016/2017,Quetta Gladiators
48,Mohammad Nabi,8,8,27,0,208,4,Feb-32,52,7.7,40.5,0,0,4,0,2015/2016,Quetta Gladiators
49,WG Jacks,2,-,-,-,-,-,-,-,-,-,-,-,3,0,2021/2022,Islamabad United
49,Imran Tahir,7,7,25,1,170,13,7-Mar,13.07,6.8,11.5,0,0,5,0,2020/2021,Multan Sultans
49,A Lyth,2,2,3,0,26,1,22-Jan,26,8.66,18,0,0,2,0,2019/2020,Multan Sultans
49,Kamran Akmal,13,-,-,-,-,-,-,-,-,-,-,-,8,1,2018/2019,Peshawar Zalmi
49,Mir Hamza,3,3,11,0,95,3,27-Jan,31.66,8.63,22,0,0,1,0,2017/2018,Quetta Gladiators
49,Mohammad Nawaz,10,10,35.4,0,234,13,13-Apr,18,6.56,16.4,1,0,5,0,2016/2017,Quetta Gladiators
49,Mohammad Nawaz,10,10,35.4,0,234,13,13-Apr,18,6.56,16.4,1,0,5,0,2015/2016,Quetta Gladiators
50,CJ Jordan,5,5,20,0,189,9,Mar-41,21,9.45,13.3,0,0,1,0,2021/2022,Karachi Kings
50,CA Ingram,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2020/2021,Karachi Kings
50,Maaz Khan,3,3,7,0,76,2,Feb-31,38,10.85,21,0,0,1,0,2019/2020,Lahore Qalandars
50,S Lamichhane,7,7,24.4,0,189,11,10-Apr,17.18,7.66,13.4,1,0,2,0,2018/2019,Lahore Qalandars
50,Misbah-ul-Haq,8,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Islamabad United
50,Mohammad Rizwan,8,-,-,-,-,-,-,-,-,-,-,-,6,4,2016/2017,Lahore Qalandars
50,Mohammad Rizwan,8,-,-,-,-,-,-,-,-,-,-,-,6,4,2015/2016,Lahore Qalandars
51,Kamran Akmal,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Peshawar Zalmi
51,Kamran Akmal,13,-,-,-,-,-,-,-,-,-,-,-,15,1,2020/2021,Peshawar Zalmi
51,MJ McClenaghan,1,1,1,0,14,0,-,-,14,-,0,0,0,0,2019/2020,Karachi Kings
51,LS Livingstone,11,-,-,-,-,-,-,-,-,-,-,-,4,0,2018/2019,Karachi Kings
51,Mohammad Amir,11,10,35,1,233,9,6-Feb,25.88,6.65,23.3,0,0,0,0,2017/2018,Karachi Kings
51,Mohammad Sami,7,7,24.4,0,138,12,8-May,11.5,5.59,12.3,0,1,1,0,2016/2017,Islamabad United
51,Mohammad Sami,7,7,24.4,0,138,12,8-May,11.5,5.59,12.3,0,1,1,0,2015/2016,Islamabad United
52,Kamran Ghulam,13,5,8,0,73,1,15-Jan,73,9.12,48,0,0,1,0,2021/2022,Lahore Qalandars
52,Khalid Usman,1,1,4,0,45,0,-,-,11.25,-,0,0,0,0,2020/2021,Peshawar Zalmi
52,S Mahmood,1,1,4,0,41,3,Mar-41,13.66,10.25,8,0,0,0,0,2019/2020,Peshawar Zalmi
52,WL Madsen,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Peshawar Zalmi
52,Mohammad Asghar,5,5,15.4,0,141,2,18-Jan,70.5,9,47,0,0,2,0,2017/2018,Peshawar Zalmi
52,Mushfiqur Rahim,3,-,-,-,-,-,-,-,-,-,-,-,1,2,2016/2017,Karachi Kings
52,Mushfiqur Rahim,3,-,-,-,-,-,-,-,-,-,-,-,1,2,2015/2016,Karachi Kings
53,Khalid Usman,2,2,8,0,42,2,17-Jan,21,5.25,24,0,0,0,0,2021/2022,Peshawar Zalmi
53,UT Khawaja,7,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Islamabad United
53,DJ Malan,4,-,-,-,-,-,-,-,-,-,-,-,1,0,2019/2020,Islamabad United
53,DJ Malan,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2018/2019,Peshawar Zalmi
53,Mohammad Hafeez,13,-,-,-,-,-,-,-,-,-,-,-,5,0,2017/2018,Peshawar Zalmi
53,Nauman Anwar,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Karachi Kings
53,Nauman Anwar,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Karachi Kings
54,Khurram Shahzad,2,2,8,0,62,5,22-Apr,12.4,7.75,9.6,1,0,1,0,2021/2022,Quetta Gladiators
54,Khurram Shahzad,5,5,16,0,116,7,14-Mar,16.57,7.25,13.7,0,0,0,0,2020/2021,Quetta Gladiators
54,TS Mills,4,4,15,0,122,5,Feb-30,24.4,8.13,18,0,0,1,0,2019/2020,Quetta Gladiators
54,TS Mills,5,5,19,0,137,7,29-Mar,19.57,7.21,16.2,0,0,0,0,2018/2019,Peshawar Zalmi
54,Mohammad Irfan,10,9,36,1,228,10,19-Feb,22.8,6.33,21.6,0,0,1,0,2017/2018,Multan Sultans
54,Naved Yasin,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Lahore Qalandars
54,Naved Yasin,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Lahore Qalandars
55,Khushdil Shah,12,12,32.2,0,223,16,Apr-35,13.93,6.89,12.1,1,0,7,0,2021/2022,Multan Sultans
55,Khushdil Shah,11,3,4,0,37,1,4-Jan,37,9.25,24,0,0,3,0,2020/2021,Multan Sultans
55,Mohammad Amir Khan,4,4,12,0,107,3,11-Jan,35.66,8.91,24,0,0,1,0,2019/2020,Peshawar Zalmi
55,Misbah-ul-Haq,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Peshawar Zalmi
55,Mohammad Irfan,11,10,31,0,298,12,18-Feb,24.83,9.61,15.5,0,0,3,0,2017/2018,Karachi Kings
55,KP Pietersen,9,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Quetta Gladiators
55,KP Pietersen,9,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Quetta Gladiators
56,T Kohler-Cadmore,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Peshawar Zalmi
56,BA King,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Islamabad United
56,Mohammad Amir,11,11,42.5,0,327,10,25-Apr,32.7,7.63,25.7,1,0,0,0,2019/2020,Karachi Kings
56,Mohammad Abbas,3,3,12,1,69,5,22-Mar,13.8,5.75,14.4,0,0,0,0,2018/2019,Multan Sultans
56,Mohammad Nawaz,11,11,36,1,196,7,4-Feb,28,5.44,30.8,0,0,3,0,2017/2018,Quetta Gladiators
56,Rumman Raees,8,8,26.3,0,180,4,14-Jan,45,6.79,39.7,0,0,1,0,2016/2017,Islamabad United
56,Rumman Raees,8,8,26.3,0,180,4,14-Jan,45,6.79,39.7,0,0,1,0,2015/2016,Islamabad United
57,TA Lammonby,3,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Karachi Kings
57,T Kohler-Cadmore,4,-,-,-,-,-,-,-,-,-,-,-,5,0,2020/2021,Peshawar Zalmi
57,Mohammad Hafeez,13,8,20,1,130,3,11-Jan,43.33,6.5,40,0,0,6,0,2019/2020,Lahore Qalandars
57,Mohammad Amir,9,9,34.3,0,257,13,25-Apr,19.76,7.44,15.9,1,0,2,0,2018/2019,Karachi Kings
57,Mohammad Rizwan,12,-,-,-,-,-,-,-,-,-,-,-,5,2,2017/2018,Karachi Kings
57,AD Russell,10,10,34.2,0,276,16,18-Mar,17.25,8.03,12.8,0,0,5,0,2016/2017,Islamabad United
57,AD Russell,10,10,34.2,0,276,16,18-Mar,17.25,8.03,12.8,0,0,5,0,2015/2016,Islamabad United
58,LS Livingstone,4,4,13,0,112,2,22-Jan,56,8.61,39,0,0,3,0,2021/2022,Peshawar Zalmi
58,CA Lynn,4,-,-,-,-,-,-,-,-,-,-,-,1,0,2020/2021,Multan Sultans
58,Mohammad Hasnain,9,9,32,0,287,15,25-Apr,19.13,8.96,12.8,2,0,1,0,2019/2020,Quetta Gladiators
58,Mohammad Hafeez,2,2,5.1,0,40,0,-,-,7.74,-,0,0,2,0,2018/2019,Lahore Qalandars
58,Mohammad Sami,11,11,42.4,0,291,13,21-Mar,22.38,6.82,19.6,0,0,2,0,2017/2018,Islamabad United
58,Saeed Ajmal,6,6,22,0,157,6,27-Mar,26.16,7.13,22,0,0,0,0,2016/2017,Islamabad United
58,Saeed Ajmal,6,6,22,0,157,6,27-Mar,26.16,7.13,22,0,0,0,0,2015/2016,Islamabad United
59,S Mahmood,2,2,7,0,81,2,Feb-44,40.5,11.57,21,0,0,2,0,2021/2022,Peshawar Zalmi
59,S Mahmood,5,5,18.1,0,145,12,12-Mar,12.08,7.98,9,0,0,0,0,2020/2021,Peshawar Zalmi
59,Mohammad Ilyas,9,8,19.4,0,169,8,16-Feb,21.12,8.59,14.7,0,0,2,0,2019/2020,Multan Sultans
59,Mohammad Hasnain,7,7,28,1,211,12,30-Mar,17.58,7.53,14,0,0,1,0,2018/2019,Quetta Gladiators
59,EJG Morgan,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Karachi Kings
59,Saifullah Bangash,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Karachi Kings
59,Saifullah Bangash,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Karachi Kings
60,Mir Hamza,4,4,16,0,114,8,27-Apr,14.25,7.12,12,1,0,0,0,2021/2022,Karachi Kings
60,DA Miller,3,-,-,-,-,-,-,-,-,-,-,-,1,0,2020/2021,Peshawar Zalmi
60,Mohammad Imran,1,1,2,0,16,1,16-Jan,16,8,12,0,0,0,0,2019/2020,Peshawar Zalmi
60,Mohammad Ilyas,8,7,24,0,194,9,27-Mar,21.55,8.08,16,0,0,4,0,2018/2019,Multan Sultans
60,Mukhtar Ahmed,1,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Karachi Kings
60,DJG Sammy,10,6,11,0,96,4,9-Jan,24,8.72,16.5,0,0,4,0,2016/2017,Peshawar Zalmi
60,DJG Sammy,10,6,11,0,96,4,9-Jan,24,8.72,16.5,0,0,4,0,2015/2016,Peshawar Zalmi
61,Mohammad Hafeez,13,8,18,0,117,6,23-Feb,19.5,6.5,18,0,0,4,0,2021/2022,Lahore Qalandars
61,Mohammad Amir,11,11,41.4,2,349,5,14-Jan,69.8,8.37,50,0,0,2,0,2020/2021,Karachi Kings
61,Mohammad Irfan,8,7,26,0,212,4,Feb-31,53,8.15,39,0,0,0,0,2019/2020,Multan Sultans
61,Mohammad Irfan,9,9,32,0,209,5,16-Jan,41.8,6.53,38.4,0,0,2,0,2018/2019,Multan Sultans
61,Mustafizur Rahman,5,5,16,1,103,4,22-Feb,25.75,6.43,24,0,0,0,0,2017/2018,Lahore Qalandars
61,KC Sangakkara,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Quetta Gladiators
61,KC Sangakkara,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Quetta Gladiators
62,Mohammad Haris,5,-,-,-,-,-,-,-,-,-,-,-,5,1,2021/2022,Peshawar Zalmi
62,Mohammad Hafeez,10,5,8,0,62,2,4-Jan,31,7.75,24,0,0,2,0,2020/2021,Lahore Qalandars
62,Mohammad Mohsin,2,1,4,0,35,1,Jan-35,35,8.75,24,0,0,0,0,2019/2020,Peshawar Zalmi
62,Mohammad Irfan,2,2,5.2,0,68,0,-,-,12.75,-,0,0,0,0,2018/2019,Multan Sultans
62,SP Narine,9,9,34,0,204,10,28-Mar,20.4,6,20.4,0,0,5,0,2017/2018,Lahore Qalandars
62,Sarfraz Ahmed,10,-,-,-,-,-,-,-,-,-,-,-,2,2,2016/2017,Quetta Gladiators
62,Sarfraz Ahmed,10,-,-,-,-,-,-,-,-,-,-,-,2,2,2015/2016,Quetta Gladiators
63,Mohammad Hasnain,3,3,9,0,76,3,27-Feb,25.33,8.44,18,0,0,1,0,2021/2022,Quetta Gladiators
63,Mohammad Hasnain,9,9,32.5,0,292,9,18-Feb,32.44,8.89,21.8,0,0,2,0,2020/2021,Quetta Gladiators
63,Mohammad Nawaz,9,9,25,0,208,6,9-Feb,34.66,8.32,25,0,0,8,0,2019/2020,Quetta Gladiators
63,Mohammad Irfan,3,3,12,0,106,3,Feb-32,35.33,8.83,24,0,0,2,0,2018/2019,Quetta Gladiators
63,SR Patel,9,9,27,0,188,13,Apr-34,14.46,6.96,12.4,1,0,3,0,2017/2018,Islamabad United
63,Shahid Afridi,10,10,37,2,244,10,7-May,24.4,6.59,22.2,0,1,4,0,2016/2017,Peshawar Zalmi
63,Shahid Afridi,10,10,37,2,244,10,7-May,24.4,6.59,22.2,0,1,4,0,2015/2016,Peshawar Zalmi
64,Mohammad Huraira,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Islamabad United
64,Mohammad Ilyas,5,5,17.5,1,173,8,Mar-39,21.62,9.7,13.3,0,0,1,0,2020/2021,Karachi Kings
64,Mohammad Rizwan,2,-,-,-,-,-,-,-,-,-,-,-,3,0,2019/2020,Karachi Kings
64,Mohammad Nawaz,12,12,46,0,350,13,25-Feb,26.92,7.6,21.2,0,0,8,0,2018/2019,Quetta Gladiators
64,NLTC Perera,1,1,2,0,24,2,24-Feb,12,12,6,0,0,2,0,2017/2018,Quetta Gladiators
64,Shahid Yousuf,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Peshawar Zalmi
64,Shahid Yousuf,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Peshawar Zalmi
65,Mohammad Ilyas,3,3,6,0,71,1,2-Jan,71,11.83,36,0,0,0,0,2021/2022,Karachi Kings
65,Mohammad Imran,11,11,41.3,0,340,9,Feb-47,37.77,8.19,27.6,0,0,0,0,2020/2021,Peshawar Zalmi
65,Muhammad Faizan,7,3,7,0,72,3,Feb-29,24,10.28,14,0,0,1,0,2019/2020,Lahore Qalandars
65,Mohammad Rizwan,5,-,-,-,-,-,-,-,-,-,-,-,2,2,2018/2019,Karachi Kings
65,KP Pietersen,9,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Quetta Gladiators
65,Shahzaib Hasan,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Karachi Kings
65,Shahzaib Hasan,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Karachi Kings
66,Mohammad Imran,3,3,10,0,93,1,23-Jan,93,9.3,60,0,0,0,0,2021/2022,Karachi Kings
66,Mohammad Irfan,10,10,40,0,271,10,27-Mar,27.1,6.77,24,0,0,3,0,2020/2021,Peshawar Zalmi
66,Muhammad Musa,7,7,22.4,2,187,6,30-Mar,31.16,8.25,22.6,0,0,1,0,2019/2020,Islamabad United
66,Mohammad Sami,9,9,28.4,0,230,5,22-Mar,46,8.02,34.4,0,0,3,0,2018/2019,Islamabad United
66,KA Pollard,10,5,12.5,0,122,5,Mar-37,24.4,9.5,15.4,0,0,6,0,2017/2018,Multan Sultans
66,Shakib Al Hasan,8,7,21,0,167,3,26-Jan,55.66,7.95,42,0,0,3,0,2016/2017,Karachi Kings
66,Shakib Al Hasan,8,7,21,0,167,3,26-Jan,55.66,7.95,42,0,0,3,0,2015/2016,Karachi Kings
67,Mohammad Irfan,2,2,7.3,0,56,2,28-Jan,28,7.46,22.5,0,0,0,0,2021/2022,Quetta Gladiators
67,Mohammad Nabi,5,4,11,0,84,1,26-Jan,84,7.63,66,0,0,2,0,2020/2021,Karachi Kings
67,C Munro,8,-,-,-,-,-,-,-,-,-,-,-,1,0,2019/2020,Islamabad United
67,TJ Moores,3,-,-,-,-,-,-,-,-,-,-,-,0,1,2018/2019,Multan Sultans
67,Rahat Ali,11,11,42.2,0,322,15,16-Apr,21.46,7.6,16.9,1,0,1,0,2017/2018,Quetta Gladiators
67,Sharjeel Khan,11,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Islamabad United
67,Sharjeel Khan,11,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Islamabad United
68,Mohammad Nabi,9,9,31.2,0,213,5,17-Feb,42.6,6.79,37.6,0,0,3,0,2021/2022,Karachi Kings
68,Mohammad Nawaz,9,9,26,0,195,6,16-Feb,32.5,7.5,26,0,0,2,0,2020/2021,Quetta Gladiators
68,Naseem Shah,6,6,22,0,162,5,17-Feb,32.4,7.36,26.4,0,0,1,0,2019/2020,Quetta Gladiators
68,Muhammad Musa,7,7,23,0,235,8,25-Mar,29.37,10.21,17.2,0,0,1,0,2018/2019,Islamabad United
68,D Ramdin,4,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Lahore Qalandars
68,Shoaib Malik,9,4,11,0,73,1,16-Jan,73,6.63,66,0,0,1,0,2016/2017,Karachi Kings
68,Shoaib Malik,9,4,11,0,73,1,16-Jan,73,6.63,66,0,0,1,0,2015/2016,Karachi Kings
69,Mohammad Nawaz,5,5,15,0,126,6,Mar-44,21,8.4,15,0,0,2,0,2021/2022,Quetta Gladiators
69,Mohammad Rizwan,12,-,-,-,-,-,-,-,-,-,-,-,18,2,2020/2021,Multan Sultans
69,WD Parnell,1,1,3,0,35,0,-,-,11.66,-,0,0,0,0,2019/2020,Karachi Kings
69,C Munro,8,4,7,0,71,2,14-Feb,35.5,10.14,21,0,0,0,0,2018/2019,Karachi Kings
69,Rameez Raja,5,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Quetta Gladiators
69,LMP Simmons,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2016/2017,Karachi Kings
69,LMP Simmons,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2015/2016,Karachi Kings
70,Mohammad Rizwan,12,-,-,-,-,-,-,-,-,-,-,-,7,2,2021/2022,Multan Sultans
70,Mohammad Umar,2,2,7,0,79,2,Jan-34,39.5,11.28,21,0,0,1,0,2020/2021,Multan Sultans
70,SR Patel,12,10,31,1,235,10,5-Apr,23.5,7.58,18.6,1,0,5,0,2019/2020,Lahore Qalandars
70,Nabi Gul,2,1,0.5,0,4,0,-,-,4.8,-,0,0,1,0,2018/2019,Peshawar Zalmi
70,Raza Hasan,2,2,5,0,47,0,-,-,9.4,-,0,0,0,0,2017/2018,Lahore Qalandars
70,DR Smith,4,3,4,0,45,0,-,-,11.25,-,0,0,3,0,2016/2017,Islamabad United
70,DR Smith,4,3,4,0,45,0,-,-,11.25,-,0,0,3,0,2015/2016,Islamabad United
71,Mohammad Taha,5,1,4,0,32,0,-,-,8,-,0,0,0,0,2021/2022,Karachi Kings
71,Mohammad Wasim,11,11,40,0,336,12,Apr-31,28,8.4,20,1,0,4,0,2020/2021,Islamabad United
71,S Prasanna,2,2,5,0,56,0,-,-,11.2,-,0,0,0,0,2019/2020,Lahore Qalandars
71,Nasir Nawaz,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Islamabad United
71,L Ronchi,11,-,-,-,-,-,-,-,-,-,-,-,4,0,2017/2018,Islamabad United
71,Sohaib Maqsood,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Lahore Qalandars
71,Sohaib Maqsood,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Lahore Qalandars
72,Mohammad Umar,6,6,20,0,187,5,22-Mar,37.4,9.35,24,0,0,0,0,2021/2022,Peshawar Zalmi
72,Muhammad Akhlaq,5,-,-,-,-,-,-,-,-,-,-,-,5,0,2020/2021,Islamabad United
72,Rahat Ali,10,10,36.1,0,302,9,24-Mar,33.55,8.35,24.1,0,0,1,0,2019/2020,Peshawar Zalmi
72,Nauman Ali,4,4,11,0,87,2,14-Feb,43.5,7.9,33,0,0,0,0,2018/2019,Multan Sultans
72,RR Rossouw,10,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Quetta Gladiators
72,Sohail Khan,5,5,17.5,0,120,4,23-Feb,30,6.72,26.7,0,0,0,0,2016/2017,Karachi Kings
72,Sohail Khan,5,5,17.5,0,120,4,23-Feb,30,6.72,26.7,0,0,0,0,2015/2016,Karachi Kings
73,Mohammad Wasim,8,8,27.3,0,308,8,25-Feb,38.5,11.2,20.6,0,0,1,0,2021/2022,Islamabad United
73,Muhammad Faizan,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Lahore Qalandars
73,Raja Farzan,2,2,6,0,35,2,24-Feb,17.5,5.83,18,0,0,0,0,2019/2020,Lahore Qalandars
73,WD Parnell,3,2,2,0,32,0,-,-,16,-,0,0,1,0,2018/2019,Islamabad United
